"a","D1_Gamma","D2_Gamma","D3_Gamma","D4_Gamma","D5_Gamma","D1_Beta","D2_Beta","D3_Beta","D4_Beta","D5_Beta","Beta_Gamma"
0.5,0.995180694841201,0.995180694841201,0.995180694841201,0.879237312917954,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.937809777879917,0.937809777879917
0.55,0.995180694841201,0.995180694841201,0.995180694841201,0.879237312917954,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.937809777879917,0.937809777879917
0.6,0.956532900866785,0.956532900866785,0.956532900866785,0.91788510689237,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.89953182776237,0.89953182776237
0.65,0.937209003879578,0.937209003879578,0.937209003879578,0.937209003879578,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.880392852703596,0.880392852703596
0.7,0.937209003879578,0.937209003879578,0.937209003879578,0.937209003879578,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.880392852703596,0.880392852703596
0.75,0.91788510689237,0.91788510689237,0.91788510689237,0.956532900866785,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.861253877644822,0.861253877644822
0.8,0.91788510689237,0.91788510689237,0.91788510689237,0.956532900866785,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.861253877644822,0.861253877644822
0.85,0.91788510689237,0.91788510689237,0.91788510689237,0.956532900866785,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.861253877644822,0.861253877644822
0.9,0.898561209905162,0.898561209905162,0.898561209905162,0.975856797853993,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.842114902586048,0.842114902586048
0.95,0.879237312917954,0.879237312917954,0.879237312917954,0.995180694841201,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.822975927527274,0.822975927527274
1,0.87378640776699,0.87378640776699,0.87378640776699,1,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.81734547727303,0.81734547727303
1.05,0.859913415930746,0.859913415930746,0.859913415930746,0.995180694841201,1,0.951967085294471,0.951967085294471,0.951967085294471,0.81734547727303,0.803836952468501,0.803836952468501
1.1,0.898561209905162,0.898561209905162,0.859913415930746,0.995180694841201,1,0.913503768716916,0.913503768716916,0.951967085294471,0.81734547727303,0.803836952468501,0.803836952468501
1.15,0.898561209905162,0.898561209905162,0.859913415930746,0.995180694841201,1,0.913503768716916,0.913503768716916,0.951967085294471,0.81734547727303,0.803836952468501,0.803836952468501
1.2,0.879237312917954,0.879237312917954,0.840589518943539,0.975856797853993,1,0.913503768716916,0.913503768716916,0.951967085294471,0.81734547727303,0.784697977409727,0.784697977409727
1.25,0.898561209905162,0.898561209905162,0.840589518943539,0.975856797853993,1,0.913503768716916,0.913503768716916,0.932735427005694,0.81734547727303,0.803836952468501,0.803836952468501
1.3,0.91788510689237,0.91788510689237,0.840589518943539,0.975856797853993,1,0.894272110428139,0.894272110428139,0.932735427005694,0.81734547727303,0.803836952468501,0.803836952468501
1.35,0.91788510689237,0.91788510689237,0.840589518943539,0.975856797853993,1,0.875040452139362,0.875040452139362,0.913503768716916,0.798113818984253,0.784697977409727,0.784697977409727
1.4,0.91788510689237,0.91788510689237,0.840589518943539,0.975856797853993,1,0.875040452139362,0.875040452139362,0.913503768716916,0.798113818984253,0.784697977409727,0.784697977409727
1.45,0.91788510689237,0.91788510689237,0.840589518943539,0.975856797853993,1,0.875040452139362,0.875040452139362,0.913503768716916,0.798113818984253,0.784697977409727,0.784697977409727
1.5,0.879237312917954,0.879237312917954,0.840589518943539,0.975856797853993,1,0.81734547727303,0.81734547727303,0.894272110428139,0.778882160695476,0.765559002350953,0.765559002350953
1.55,0.879237312917954,0.879237312917954,0.840589518943539,0.975856797853993,1,0.81734547727303,0.81734547727303,0.894272110428139,0.778882160695476,0.765559002350953,0.765559002350953
1.6,0.879237312917954,0.879237312917954,0.840589518943539,0.975856797853993,1,0.798113818984253,0.798113818984253,0.875040452139362,0.759650502406699,0.746420027292179,0.746420027292179
1.65,0.91788510689237,0.91788510689237,0.801941724969123,0.937209003879578,1,0.798113818984253,0.798113818984253,0.875040452139362,0.759650502406699,0.708142077174631,0.708142077174631
1.7,0.859913415930746,0.859913415930746,0.801941724969123,0.937209003879578,1,0.721187185829145,0.721187185829145,0.855808793850585,0.740418844117922,0.689003102115858,0.689003102115858
1.75,0.859913415930746,0.859913415930746,0.801941724969123,0.937209003879578,1,0.721187185829145,0.721187185829145,0.855808793850585,0.740418844117922,0.689003102115858,0.689003102115858
1.8,0.840589518943539,0.840589518943539,0.801941724969123,0.937209003879578,1,0.701955527540367,0.701955527540367,0.855808793850585,0.740418844117922,0.689003102115858,0.689003102115858
1.85,0.782617827981915,0.782617827981915,0.801941724969123,0.937209003879578,1,0.644260552674036,0.644260552674036,0.855808793850585,0.740418844117922,0.689003102115858,0.689003102115858
1.9,0.801941724969123,0.801941724969123,0.782617827981915,0.91788510689237,1,0.663492210962813,0.663492210962813,0.836577135561808,0.721187185829145,0.689003102115858,0.689003102115858
1.95,0.7439700340075,0.7439700340075,0.782617827981915,0.91788510689237,1,0.54810226123015,0.54810226123015,0.81734547727303,0.701955527540367,0.669864127057084,0.669864127057084
2,0.7439700340075,0.7439700340075,0.782617827981915,0.91788510689237,1,0.567333919518927,0.567333919518927,0.798113818984253,0.68272386925159,0.65072515199831,0.65072515199831
