"a","D2_Gamma","D3_Gamma","D5_Gamma","D2_Beta","D3_Beta","D5_Beta","Beta_Gamma"
0.5,0.972563754865307,0.972903161050577,1,0.986916838920432,0.986747137052534,0.959853025460082,0.959853025460082
1,0.88895017238032,0.878442834790388,1,0.979634828426003,0.974218576287975,0.875076835284132,0.875076835284132
1.5,0.899118227167276,0.774130168577299,1,0.869726214133996,0.948346162663776,0.79057187092457,0.79057187092457
2,0.290176064000596,0.677562698296901,1,0.0645386651335539,0.924888895613427,0.708679737839955,0.708679737839955
2.5,-0.211624758620045,0.595265447782836,1,-0.507414101145049,0.906187551283365,0.63612308274825,0.63612308274825
3,-0.26533811547022,0.528684085772452,1,-0.612510206470442,0.893343914104834,0.574738956771757,0.574738956771757
