"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.98748298829883,0.990761596159616,0.973071827182718,0.997938553855386,0.998966936693669,0.954607500750075,0.992382118211821
1,0.959615119446499,0.959373115048939,0.955317128735092,0.99496597659766,0.996546654665467,0.941366936693669,0.965899668140073
1.5,0.936643600471149,0.928925431124293,0.896217349133368,0.967732613261326,0.993959435943594,0.918037923792379,0.915530981297648
2,0.371681457039176,0.6206099041002,0.812870836723343,0.114444524452445,0.334461326132613,0.889684608460846,0.849450866238855
2.5,-0.301732365846405,-0.487600081309696,0.723781882928848,-0.670630423042304,-0.845676447644764,0.861087068706871,0.779532826649216
3,-0.325587751917157,-0.441538176678473,0.574231740059847,-0.782228262826283,-0.891058265826583,0.834443564356436,0.635435954270548
