"a","D1_Gamma","D3_Gamma","D4_Gamma","D1_Beta","D3_Beta","D4_Beta","Beta_Gamma"
0.5,0.91409696969697,0.927579797979798,0.86920404040404,0.970521212121212,0.981393939393939,0.828173737373737,0.936383838383838
1,0.839617872313073,0.838878464903625,0.826510742011216,0.948436363636364,0.959527272727273,0.80150303030303,0.857242143718342
1.5,0.798470557219199,0.785011020624344,0.728437198976493,0.853975757575758,0.944371717171717,0.760492929292929,0.767518776667697
2,0.255787983434468,0.444643028648779,0.628800747494826,0.0764121212121212,0.228145454545455,0.718355555555556,0.681335330156068
2.5,-0.213547026816029,-0.352049796036147,0.549671615936602,-0.491676767676768,-0.665010101010101,0.680876767676768,0.61315953969898
3,-0.25609517801754,-0.350139935508203,0.464181835975086,-0.595628282828283,-0.721971717171717,0.649078787878788,0.515440490612628
